AccountNumber,PlanName,Rate,BillDate,UsageTime,UsageDuration
SA-0114-12-73,MV-L,0.5,28/08/2011,2011-08-09 08:25:56,911
SA-0080-84-93,MV-L,0.5,28/04/2012,2012-04-02 04:11:45,726
SA-0107-05-98,MV-L,0.5,28/05/2012,2012-05-01 16:46:13,644
SA-0339-42-22,MV-L,0.5,28/09/2012,2012-09-24 09:12:13,443
SA-0252-71-33,MV-L,0.5,28/03/2011,2011-03-19 00:30:24,647
SA-0314-69-44,MV-L,0.5,28/06/2011,2011-06-18 01:18:16,821
SA-0012-71-76,MV-L,0.5,28/03/2011,2011-03-08 02:13:47,665
SA-0092-93-02,MV-L,0.5,28/09/2012,2012-09-20 23:26:22,283
SA-0401-55-12,MV-L,0.5,28/02/2011,2011-02-28 15:24:12,345
SA-0303-06-26,MV-L,0.5,28/05/2012,2012-05-12 09:52:24,943
SA-0063-02-33,MV-L,0.5,28/11/2011,2011-11-26 14:00:07,769
SA-0033-12-88,MV-L,0.5,28/11/2012,2012-11-20 12:47:29,87
SA-0063-02-33,MV-L,0.5,28/04/2011,2011-04-05 21:14:36,529
SA-0114-12-73,MV-L,0.5,28/05/2011,2011-05-08 19:37:17,359
SA-0012-71-76,MV-L,0.5,28/04/2011,2011-04-23 15:13:50,840
SA-0144-10-84,MV-L,0.5,28/01/2011,2011-01-27 00:00:03,830
SA-0187-35-19,MV-L,0.5,28/05/2011,2011-05-18 14:30:26,391
SA-0033-12-88,MV-L,0.5,28/04/2011,2011-04-22 22:01:30,305
SA-0378-80-96,MV-L,0.5,28/08/2012,2012-08-11 12:06:55,745
SA-0361-84-31,MV-L,0.5,28/08/2012,2012-08-02 10:18:20,739
SA-0202-82-34,MV-L,0.5,28/08/2012,2012-08-15 08:31:00,799
SA-0185-10-64,MV-L,0.5,28/11/2012,2012-11-06 03:12:44,460
SA-0144-10-84,MV-L,0.5,28/12/2012,2012-12-25 05:19:23,512
SA-0145-41-01,MV-L,0.5,28/10/2011,2011-10-22 19:52:16,279
SA-0279-91-74,MV-L,0.5,28/10/2011,2011-10-17 23:35:56,465
SA-0114-12-73,MV-L,0.5,28/04/2012,2012-04-22 23:12:40,614
SA-0005-14-91,MV-L,0.5,28/07/2011,2011-07-08 13:05:05,86
SA-0220-48-64,MV-L,0.5,28/06/2011,2011-06-11 00:32:00,258
SA-0145-41-01,MV-L,0.5,28/05/2012,2012-05-25 05:43:22,877
SA-0252-71-33,MV-L,0.5,28/11/2011,2011-11-12 18:21:11,480
SA-0220-61-46,MV-L,0.5,28/08/2011,2011-08-08 03:09:21,944
SA-0021-95-06,MV-L,0.5,28/09/2011,2011-09-14 17:14:12,286
SA-0314-69-44,MV-L,0.5,28/06/2011,2011-06-17 08:04:22,295
SA-0220-61-46,MV-L,0.5,28/06/2012,2012-06-24 21:02:35,245
SA-0021-95-06,MV-L,0.5,28/05/2011,2011-05-30 17:03:29,634
SA-0012-71-76,MV-L,0.5,28/09/2012,2012-09-17 22:47:01,425
SA-0279-91-74,MV-L,0.5,28/07/2012,2012-07-22 00:51:23,964
SA-0055-36-68,MV-L,0.5,28/04/2012,2012-04-11 09:02:40,870
SA-0220-61-46,MV-L,0.5,28/01/2012,2012-01-14 23:56:28,289
SA-0009-04-02,MV-L,0.5,28/03/2012,2012-03-16 06:05:56,970
SA-0343-60-69,MV-L,0.5,28/07/2012,2012-07-17 23:35:54,548
SA-0220-48-64,MV-L,0.5,28/12/2011,2011-12-20 08:57:18,396
SA-0414-86-48,MV-L,0.5,28/01/2012,2012-01-30 03:08:02,356
SA-0021-95-06,MV-L,0.5,28/06/2012,2012-06-25 13:02:58,186
SA-0080-84-93,MV-L,0.5,28/02/2011,2011-02-13 15:40:17,732
SA-0138-33-52,MV-L,0.5,28/08/2012,2012-08-16 20:20:30,985
SA-0147-43-82,MV-L,0.5,28/02/2011,2011-02-05 02:24:02,588
SA-0314-69-44,MV-L,0.5,28/08/2012,2012-08-26 01:36:38,228
SA-0222-28-58,MV-L,0.5,28/07/2011,2011-07-03 17:56:03,172
SA-0222-28-58,MV-L,0.5,28/06/2011,2011-06-05 13:07:32,166
SA-0343-60-69,MV-L,0.5,28/11/2011,2011-11-12 06:37:14,626
SA-0378-80-96,MV-L,0.5,28/04/2011,2011-04-14 16:10:06,557
SA-0187-35-19,MV-L,0.5,28/02/2012,2012-02-17 02:32:31,828
SA-0144-10-84,MV-L,0.5,28/08/2011,2011-08-06 13:52:21,944
SA-0138-33-52,MV-L,0.5,28/12/2012,2012-12-07 11:57:47,249
SA-0037-94-05,MV-L,0.5,28/03/2012,2012-03-12 05:58:55,988
SA-0220-48-64,MV-L,0.5,28/09/2011,2011-09-05 01:01:25,895
SA-0144-10-84,MV-L,0.5,28/08/2012,2012-08-07 09:56:05,968
SA-0012-71-76,MV-L,0.5,28/07/2012,2012-07-16 19:05:33,999
SA-0144-10-84,MV-L,0.5,28/07/2011,2011-07-17 07:21:50,539
