AccNo,FeaName,Sdate,Edate
SA-0005-14-91,Education- Animal Planet,06/01/2011,11/09/2011
SA-0005-14-91,Education- Discovery Channel,09/01/2011,26/10/2011
SA-0005-14-91,Education- Nat Geo Wild,10/01/2011,18/07/2011
SA-0005-14-91,Entertainment- AXN HD,05/01/2011,29/07/2011
SA-0005-14-91,Entertainment- AXN HD,29/07/2011,14/02/2012
SA-0005-14-91,Entertainment- FOX HD,04/01/2011,21/10/2011
SA-0005-14-91,Entertainment- STAR World HD,07/01/2011,04/07/2011
SA-0005-14-91,Entertainment- STAR World HD,06/07/2011,10/01/2012
SA-0005-14-91,Entertainment- Universal Channel HD,02/01/2011,24/12/2011
SA-0005-14-91,Kids- Cartoon Network,04/01/2011,16/10/2011
SA-0005-14-91,Kids- Disney Channel,31/01/2011,21/09/2011
SA-0005-14-91,News- BBC World News,12/01/2011,05/11/2011
SA-0005-14-91,News- Sky News,03/01/2011,08/08/2011
SA-0005-14-91,News- Sky News,19/08/2011,19/12/2012
SA-0005-14-91,Sports- All Sports Network HD,02/01/2011,26/11/2011
SA-0005-14-91,Sports- Football Channel,03/01/2011,20/10/2011
SA-0005-14-91,Sports- Neo Cricket,08/01/2011,04/09/2011
SA-0005-14-91,Sports- Sports HD,09/01/2011,06/10/2011
SA-0009-04-02,Education- Animal Planet,10/01/2011,26/07/2011
SA-0009-04-02,Education- Discovery Channel,31/01/2011,30/11/2011
SA-0009-04-02,Education- Nat Geo Wild,08/01/2011,13/11/2011
SA-0009-04-02,Entertainment- AXN HD,05/01/2011,05/08/2011
SA-0009-04-02,Entertainment- FOX HD,04/01/2011,02/10/2011
SA-0009-04-02,Entertainment- STAR World HD,23/01/2011,07/12/2011
SA-0009-04-02,Entertainment- Universal Channel HD,07/01/2011,30/12/2011
SA-0009-04-02,Kids- Cartoon Network,12/01/2011,10/07/2011
SA-0009-04-02,Kids- Cartoon Network,24/07/2011,24/05/2012
SA-0009-04-02,Kids- Disney Channel,13/01/2011,01/10/2011
SA-0009-04-02,News- BBC World News,19/01/2011,07/09/2011
SA-0009-04-02,News- Sky News,19/01/2011,08/08/2011
SA-0009-04-02,Sports- All Sports Network HD,01/01/2011,07/08/2011
SA-0009-04-02,Sports- Football Channel,01/01/2011,18/11/2011
SA-0009-04-02,Sports- Neo Cricket,10/01/2011,22/10/2011
SA-0009-04-02,Sports- Sports HD,07/01/2011,24/12/2011
SA-0012-71-76,Education- Animal Planet,02/01/2011,11/12/2011
SA-0012-71-76,Education- Discovery Channel,21/01/2011,06/07/2011
SA-0012-71-76,Education- Discovery Channel,02/08/2011,27/03/2012
SA-0012-71-76,Education- Nat Geo Wild,17/02/2011,29/09/2011
SA-0012-71-76,Entertainment- AXN HD,10/01/2011,29/10/2011
SA-0012-71-76,Entertainment- FOX HD,07/01/2011,03/11/2011
SA-0012-71-76,Entertainment- STAR World HD,31/01/2011,13/07/2011
SA-0012-71-76,Entertainment- STAR World HD,15/07/2011,28/12/2012
SA-0012-71-76,Entertainment- Universal Channel HD,11/01/2011,30/07/2011
