AccNo,FeaName,Sdate,Edate
SA-0005-14-91,Call Transfer,01/01/2011,08/12/2011
SA-0005-14-91,Call Transfer,02/01/2012,24/09/2012
SA-0005-14-91,International Calls,12/01/2011,11/10/2011
SA-0005-14-91,International Calls,18/01/2012,04/07/2012
SA-0009-04-02,Call Transfer,02/01/2011,14/08/2011
SA-0009-04-02,Call Transfer,01/01/2012,26/09/2012
SA-0009-04-02,International Calls,06/01/2011,18/09/2011
SA-0009-04-02,International Calls,01/01/2012,24/12/2012
SA-0012-71-76,Call Transfer,04/01/2011,03/12/2011
SA-0012-71-76,Call Transfer,10/01/2012,05/09/2012
SA-0012-71-76,International Calls,03/01/2011,06/08/2011
SA-0012-71-76,International Calls,11/01/2012,06/10/2012
SA-0021-95-06,Call Transfer,01/01/2011,06/11/2011
SA-0021-95-06,Call Transfer,05/01/2012,16/10/2012
SA-0021-95-06,International Calls,01/01/2011,27/11/2011
SA-0021-95-06,International Calls,06/01/2012,08/10/2012
SA-0033-12-88,Call Transfer,01/01/2011,05/12/2011
SA-0033-12-88,Call Transfer,01/01/2012,17/07/2012
SA-0033-12-88,International Calls,01/01/2011,01/10/2011
SA-0033-12-88,International Calls,01/01/2012,19/12/2012
SA-0037-94-05,Call Transfer,03/01/2011,02/07/2011
SA-0037-94-05,Call Transfer,07/01/2012,16/08/2012
SA-0037-94-05,International Calls,04/01/2011,07/11/2011
SA-0037-94-05,International Calls,07/01/2012,27/07/2012
SA-0050-81-89,Call Transfer,05/01/2011,22/08/2011
SA-0050-81-89,Call Transfer,01/01/2012,07/11/2012
SA-0050-81-89,International Calls,04/01/2011,06/10/2011
SA-0050-81-89,International Calls,01/01/2012,27/10/2012
SA-0055-36-68,Call Transfer,02/01/2011,30/07/2011
SA-0055-36-68,Call Transfer,01/01/2012,09/11/2012
SA-0055-36-68,International Calls,01/01/2011,14/08/2011
SA-0055-36-68,International Calls,03/01/2012,01/10/2012
SA-0063-02-33,Call Transfer,02/01/2011,12/08/2011
SA-0063-02-33,Call Transfer,02/01/2012,03/07/2012
SA-0063-02-33,International Calls,01/01/2011,18/12/2011
SA-0063-02-33,International Calls,02/01/2012,12/12/2012
SA-0080-84-93,Call Transfer,03/01/2011,22/10/2011
SA-0080-84-93,Call Transfer,12/01/2012,19/08/2012
SA-0080-84-93,International Calls,02/01/2011,28/11/2011
SA-0080-84-93,International Calls,01/01/2012,28/09/2012
SA-0092-93-02,Call Transfer,03/01/2011,29/07/2011
SA-0092-93-02,Call Transfer,19/01/2012,14/11/2012
SA-0092-93-02,International Calls,04/01/2011,24/12/2011
SA-0092-93-02,International Calls,05/01/2012,19/08/2012
SA-0107-05-98,Call Transfer,05/01/2011,06/11/2011
SA-0107-05-98,Call Transfer,03/01/2012,20/10/2012
SA-0107-05-98,International Calls,01/01/2011,12/12/2011
SA-0107-05-98,International Calls,01/01/2012,19/11/2012
SA-0112-53-34,Call Transfer,07/01/2011,30/08/2011
SA-0112-53-34,Call Transfer,02/01/2012,10/07/2012
SA-0112-53-34,International Calls,04/01/2011,26/09/2011
SA-0112-53-34,International Calls,01/01/2012,12/12/2012
SA-0114-12-73,Call Transfer,10/01/2011,26/10/2011
SA-0114-12-73,Call Transfer,01/01/2012,09/12/2012
SA-0114-12-73,International Calls,01/01/2011,09/08/2011
SA-0114-12-73,International Calls,06/01/2012,01/07/2012
SA-0133-16-62,Call Transfer,01/01/2011,25/07/2011
SA-0133-16-62,Call Transfer,09/01/2012,22/11/2012
SA-0133-16-62,International Calls,02/01/2011,11/10/2011
SA-0133-16-62,International Calls,02/01/2012,30/11/2012
SA-0138-33-52,Call Transfer,02/01/2011,23/08/2011
SA-0138-33-52,Call Transfer,02/01/2012,16/12/2012
SA-0138-33-52,International Calls,05/01/2011,11/09/2011
SA-0138-33-52,International Calls,05/01/2012,28/12/2012
SA-0144-10-84,Call Transfer,23/01/2011,04/12/2011
SA-0144-10-84,Call Transfer,10/01/2012,28/07/2012
SA-0144-10-84,International Calls,01/01/2011,23/08/2011
SA-0144-10-84,International Calls,01/01/2012,03/09/2012
SA-0145-41-01,Call Transfer,02/01/2011,25/10/2011
SA-0145-41-01,Call Transfer,10/01/2012,04/07/2012
SA-0145-41-01,International Calls,03/01/2011,24/12/2011
SA-0145-41-01,International Calls,06/01/2012,28/12/2012
SA-0147-43-82,Call Transfer,01/01/2011,21/10/2011
SA-0147-43-82,Call Transfer,08/01/2012,23/08/2012
SA-0147-43-82,International Calls,04/01/2011,29/07/2011
SA-0147-43-82,International Calls,08/01/2012,18/12/2012
SA-0151-98-79,Call Transfer,24/01/2011,23/11/2011
SA-0151-98-79,Call Transfer,04/01/2012,13/10/2012
SA-0151-98-79,International Calls,01/01/2011,03/08/2011
SA-0151-98-79,International Calls,10/01/2012,23/12/2012
SA-0155-74-77,Call Transfer,10/01/2011,25/09/2011
